像素x坐标,像素y坐标,摄像头x坐标,摄像头y坐标
656,658,-645,2742
1021,636,970,3027
666,603,-718,3155
711,493,-718,4436
958,500,718,4436
720,476,-718,4682
835,480,0,4682
951,482,718,4682
739,433,-718,5400
842,436,0,5400
947,437,718,5400
754,398,-718,6118
848,400,0,6118
942,401,718,6118
766,367,-718,6836
852,370,0,6836
938,372,718,6836
776,343,-718,7554
856,345,0,7554
935,346,718,7554
785,321,-718,8272
859,323,0,8272
932,324,718,8272
930,305,718,8990
860,306,0,8990
792,304,-718,8990
927,290,718,9708
863,289,0,9708
799,287,-718,9708
925,275,718,10426
864,275,0,10426
804,274,-718,10426
923,263,718,11144
866,263,0,11144
808,262,-718,11144
921,252,718,11862
867,252,0,11862
814,251,-718,11862
920,243,718,12580
868,242,0,12580
818,241,-718,12580
918,234,718,13298
869,233,0,13298
822,232,-718,13298
916,226,718,14016
870,225,0,14016
824,224,-718,14016
915,218,718,14734
871,218,0,14734
828,217,-718,14734
913,212,718,15452
871,211,0,15452
830,210,-718,15452
912,205,718,16214
873,205,0,16214
833,204,-718,16214
911,200,718,16932
873,200,0,16932
834,199,-718,16932
910,195,718,17650
874,195,0,17650
836,194,-718,17650
909,190,718,18368
874,190,0,18368
837,189,-718,18368
908,186,718,19086
875,185,0,19086
841,185,-718,19086
908,182,718,19804
875,181,0,19804
842,181,-718,19804
907,178,718,20522
875,178,0,20522
844,177,-718,20522
907,174,718,21240
876,174,0,21240
903,155,718,26266
876,155,0,26266
853,155,-718,26266
