像素x坐标,像素y坐标,摄像头x坐标,摄像头y坐标
747,664,527,5717
598,690,-201,5362
417,713,-929,4964
668,599,143,6462
529,613,-585,6064
366,630,-1313,5666
185,646,-2041,5267
8,655,-2769,4868
603,541,-241,7164
472,554,-969,6766
324,567,-1697,6367
164,577,-2425,5968
5,586,-3154,5571
549,494,-625,7866
425,505,-1353,7467
292,514,-2081,7069
147,521,-2810,6670
4,529,-3538,6272
499,453,-1010,8568
387,461,-1738,8169
267,468,-2466,7770
135,475,-3194,7372
3,480,-3922,6973
