像素x坐标,像素y坐标,摄像头x坐标,摄像头y坐标
460,683,-841,6027
733,682,0,6027
1000,671,841,6027
487,587,-841,6888
731,586,0,6888
968,577,841,6888
508,524,-841,7524
731,526,0,7524
952,520,841,7524
523,473,-841,8221
934,467,841,8221
527,465,-841,8334
731,463,0,8334
931,460,841,8334
542,412,-841,9144
727,410,0,9144
913,407,841,9144
556,366,-841,9954
726,365,0,9954
897,362,841,9954
567,328,-841,10764
726,325,0,10764
885,324,841,10764
