像素x坐标	像素y坐标	摄像头x坐标	摄像头y坐标
926	644	820	6942
696	642	0	6942
465	639	-820	6942
910	597	830	7434
700	596	0	7434
479	592	-830	7434
897	538	830	8234
700	538	0	8234
500	535	-830	8234
881	485	830	9034
700	485	0	9034
519	482	-830	9034
868	439	830	9834
700	440	0	9834
534	438	-830	9834
856	401	830	10634
699	400	0	10634
546	399	-830	10634
969	608	1049	7104
413	603	-1049	7104
