像素x坐标,像素y坐标,摄像头x坐标,摄像头y坐标
1130,696,735,2873
961,705,17,2873
787,700,-701,2873
1102,605,735,3591
955,609,17,3591
801,606,-701,3591
1087,530,735,4309
956,534,17,4309
821,533,-701,4309
1074,470,735,5027
956,474,17,5027
836,473,-701,5027
1061,424,735,5745
956,426,17,5745
848,425,-701,5745
1051,386,735,6463
954,387,17,6463
858,388,-701,6463
1040,353,735,7181
953,355,17,7181
864,356,-701,7181
1033,326,735,7899
952,328,17,7899
870,329,-701,7899
1025,303,735,8617
951,304,17,8617
876,306,-701,8617
1018,283,735,9335
950,285,17,9335
879,286,-701,9335
1013,266,735,10053
948,268,17,10053
882,270,-701,10053
1007,252,735,10771
947,253,17,10771
885,255,-701,10771
1003,238,735,11489
946,240,17,11489
888,241,-701,11489
999,227,735,12207
945,229,17,12207
891,231,-701,12207
995,217,735,12925
944,219,17,12925
893,220,-701,12925
992,207,735,13643
943,209,17,13643
894,211,-701,13643
989,200,735,14361
942,201,17,14361
896,202,-701,14361
986,192,735,15079
942,193,17,15079
897,194,-701,15079
983,185,735,15797
941,187,17,15797
899,187,-701,15797
981,179,735,16515
941,180,17,16515
900,182,-701,16515
978,173,735,17233
940,175,17,17233
901,176,-701,17233
976,168,735,17951
940,168,17,17951
902,170,-701,17951
975,166,735,18022
939,166,17,18022
902,168,-701,18022
973,161,735,18740
939,163,17,18740
903,163,-701,18740
972,156,735,19458
938,159,17,19458
903,159,-701,19458
970,153,735,20176
938,155,17,20176
905,154,-701,20176
968,149,735,20894
937,150,17,20894
906,151,-701,20894
947,145,735,21613
937,148,17,21613
907,148,-701,21613
